,Crude oil,Heating oil,Corn,Soybean oil,Soybean meal,Soybean,Wheat
count,6028.0,6028.0,6028.0,6028.0,6028.0,6028.0,6028.0
mean,65.71099867548622,2.0297108984242707,417.42526542800266,38.07460186666579,312.66813174161047,1019.294998341075,545.6906934306569
std,24.50476996949533,0.8091246154701609,157.5102220311848,14.448816298161754,92.99039709245223,323.9459694138858,178.44274285282046
min,-37.630001068115234,0.5090000033378601,183.5,14.380000114440918,147.0,418.5,244.75
25%,47.32750129699707,1.4763000011444092,325.6875,28.06999969482422,257.0250015258789,835.4375,419.5
50%,65.47999954223633,1.9692000150680542,378.5,34.04999923706055,313.29998779296875,989.0,523.5
75%,83.16250228881836,2.6738499999046326,507.0,48.812500953674316,376.6000061035156,1298.75,653.5
max,145.2899932861328,5.13539981842041,831.25,90.5999984741211,548.0999755859375,1771.0,1425.25
